METADATA,,,,DATA,,,,,,,,,,,,14C,,,,,,
site_name,Zoige,,,depth,age_Loisel_et_al_2014,bulk_density_g_cm-3,org_mat_%,org_mat_density_g_OM_cm-3,C_content_%,N_content_%,org_C_density_g_C_cm-3,peat_type,peat_type_Loisel_et_al_2014,,,date_type,depth_cm,thickness_cm,uncal_date_BP,lab_uncertainty_yrs,material,labe_code
,,,,632.5,9871.294118,0.159,43.8,0.07,22.8,,0.036,Cyperaceae,2,,,,,,,,,
,,,,633.5,9886.882353,0.181,38.5,0.07,20,,0.036,Cyperaceae,2,,,,,,,,,
,,,,634.5,9902.470588,0.245,54.5,0.133,28.3,,0.069,Cyperaceae,2,,,,,,,,,
,,,,635.5,9918.058824,0.182,46.8,0.085,24.3,,0.044,Cyperaceae,2,,,,,,,,,
,,,,636.5,9933.647059,0.159,59.1,0.094,30.7,,0.049,Cyperaceae,2,,,,,,,,,
,,,,637.5,9949.235294,0.207,46.6,0.096,24.3,,0.05,Cyperaceae,2,,,,,,,,,
,,,,638.5,9964.823529,0.265,53.7,0.142,27.9,,0.074,Cyperaceae,2,,,,,,,,,
,,,,639.5,9980.411765,0.252,51.2,0.129,26.6,,0.067,Cyperaceae,2,,,,,,,,,
,,,,640.5,9996,0.302,49.1,0.148,25.5,,0.077,Cyperaceae,2,,,,,,,,,
,,,,641.5,,0.251,50.2,0.126,26.1,,0.066,Cyperaceae,2,,,,,,,,,
,,,,642.5,,0.175,58.2,0.102,30.3,,0.053,Cyperaceae,2,,,,,,,,,
,,,,643.5,,0.239,50.5,0.121,26.3,,0.063,Cyperaceae,2,,,,,,,,,
,,,,644.5,,0.281,49.3,0.138,25.7,,0.072,Cyperaceae,2,,,,,,,,,
,,,,645.5,,0.313,47.9,0.15,24.9,,0.078,Cyperaceae,2,,,,,,,,,
,,,,646.5,,0.258,46.1,0.119,24,,0.062,Cyperaceae,2,,,,,,,,,
,,,,647.5,,0.258,48.5,0.125,25.2,,0.065,Cyperaceae,2,,,,,,,,,
,,,,648.5,,0.251,50.6,0.127,26.3,,0.066,Cyperaceae,2,,,,,,,,,
,,,,649.5,,0.297,55.5,0.165,28.8,,0.086,Cyperaceae,2,,,,,,,,,
