METADATA,,,,DATA,,,,,,,,,,,,14C,,,,,,
site_name,Mosaik,,,depth,age_Loisel_et_al_2014,bulk_density_g_cm-3,org_mat_%,org_mat_density_g_OM_cm-3,C_content_%,N_content_%,org_C_density_g_C_cm-3,peat_type,peat_type_Loisel_et_al_2014,,,date_type,depth_cm,thickness_cm,uncal_date_BP,lab_uncertainty_yrs,material,labe_code
,,,,154.5,3053.75,0.050,98.6,0.050,,,0.024,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,155.5,3078.902778,0.074,98.8,0.073,,,0.036,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,156.5,3104.055556,0.083,98.3,0.081,,,0.040,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,157.5,3129.208333,0.065,98.8,0.064,,,0.031,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,158.5,3154.361111,0.064,99.1,0.064,,,0.031,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,159.5,3179.513889,0.061,98.8,0.060,,,0.029,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,160.5,3204.666667,0.060,99.0,0.059,,,0.029,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,161.5,3229.819444,0.073,99.0,0.072,,,0.035,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,162.5,3254.972222,0.077,99.0,0.076,,,0.037,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,163.5,3280.125,0.091,98.2,0.089,,,0.044,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,164.5,3305.277778,0.082,98.2,0.080,,,0.039,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,165.5,3330.430556,0.080,98.6,0.079,,,0.039,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,166.5,3355.583333,0.093,98.3,0.091,,,0.045,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,167.5,3380.736111,0.064,98.6,0.063,,,0.031,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,168.5,3405.888889,0.075,98.8,0.074,,,0.036,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,169.5,3431.041667,0.091,99.5,0.091,,,0.044,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,170.5,3456.194444,0.084,98.9,0.083,,,0.041,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,171.5,3481.347222,0.098,97.7,0.096,,,0.047,Sphagnum-Ericaceae,3,,,,,,,,,
,,,,172.5,3506.5,0.075,98.3,0.074,,,0.036,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,173.5,3530.038462,0.071,98.3,0.070,,,0.034,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,174.5,3553.576923,0.064,98.8,0.063,,,0.031,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,175.5,3577.115385,0.069,99.1,0.068,,,0.033,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,176.5,3600.653846,0.067,99.0,0.067,,,0.033,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,177.5,3624.192308,0.064,99.5,0.064,,,0.031,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,178.5,3647.730769,0.056,99.5,0.056,,,0.027,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,179.5,3671.269231,0.064,99.2,0.064,,,0.031,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,180.5,3694.807692,0.057,98.8,0.057,,,0.028,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,181.5,3718.346154,0.079,98.6,0.078,,,0.038,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,182.5,3741.884615,0.062,98.6,0.061,,,0.030,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,183.5,3765.423077,0.075,98.5,0.074,,,0.036,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,184.5,3788.961538,0.066,99.2,0.066,,,0.032,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,185.5,3812.5,0.067,98.7,0.067,,,0.033,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,186.5,3836.038462,0.066,98.5,0.065,,,0.032,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,187.5,3859.576923,0.066,99.1,0.065,,,0.032,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,188.5,3883.115385,0.074,98.2,0.073,,,0.036,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,189.5,3906.653846,0.061,99.2,0.061,,,0.030,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,190.5,3930.192308,0.074,97.7,0.072,,,0.035,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,191.5,3953.730769,0.060,99.2,0.060,,,0.029,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,192.5,3977.269231,0.071,98.7,0.070,,,0.034,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,193.5,4000.807692,0.087,97.9,0.086,,,0.042,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,194.5,4024.346154,0.103,97.8,0.101,,,0.050,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,195.5,4047.884615,0.095,98.4,0.094,,,0.046,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,196.5,4071.423077,0.096,98.4,0.095,,,0.047,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,197.5,4094.961538,0.093,98.8,0.091,,,0.045,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,198.5,4118.5,0.079,99.4,0.079,,,0.039,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,199.5,4142.038462,0.087,99.1,0.087,,,0.042,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,200.5,4165.576923,0.074,98.5,0.073,,,0.036,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,201.5,4189.115385,0.081,98.5,0.080,,,0.039,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,202.5,4212.653846,0.075,98.4,0.074,,,0.036,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,203.5,4236.192308,0.090,97.9,0.088,,,0.043,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,204.5,4259.730769,0.083,97.6,0.081,,,0.040,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,205.5,4283.269231,0.082,98.4,0.081,,,0.040,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,206.5,4306.807692,0.077,98.7,0.076,,,0.037,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,207.5,4330.346154,0.083,98.7,0.082,,,0.040,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,208.5,4353.884615,0.087,98.4,0.086,,,0.042,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,209.5,4377.423077,0.094,98.6,0.093,,,0.045,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,210.5,4400.961538,0.088,98.6,0.087,,,0.043,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,211.5,4424.5,0.088,98.6,0.087,,,0.043,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,212.5,4448.038462,0.108,98.8,0.107,,,0.052,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,213.5,4471.576923,0.099,98.1,0.097,,,0.047,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,214.5,4495.115385,0.095,98.7,0.094,,,0.046,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,215.5,4518.653846,0.093,98.8,0.092,,,0.045,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,216.5,4542.192308,0.108,98.1,0.106,,,0.052,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,217.5,4565.730769,0.097,98.7,0.096,,,0.047,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,218.5,4589.269231,0.085,98.7,0.084,,,0.041,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,219.5,4612.807692,0.094,98.5,0.093,,,0.046,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,220.5,4636.346154,0.090,99.8,0.090,,,0.044,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,221.5,4659.884615,0.099,98.6,0.098,,,0.048,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,222.5,4683.423077,0.090,99.0,0.089,,,0.044,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,223.5,4706.961538,0.082,98.7,0.081,,,0.040,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,224.5,4730.5,0.086,98.5,0.084,,,0.041,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,225.5,4763.522727,0.095,99.0,0.095,,,0.046,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,226.5,4796.545455,0.108,98.2,0.106,,,0.052,Sphagnum-Cyperaceae,2,,,,,,,,,
,,,,227.5,4829.568182,0.113,98.2,0.111,,,0.054,Sphagnum-Cyperaceae,2,,,,,,,,,
